,Country,Year,Annual COƒ??,Share of global COƒ?? emissions (%),GHG(tonnes COƒ??e ),AverageTemperature,GDP,Population,GDP_per_capita
3006,Russia,1996,1606949015.0,6.8314,2508250000.0,-4.810333333333333,846.6683959960938,148596840.0,5697.755053176728
3007,Russia,1997,1502137425.0,6.2811,2317880000.0,-4.2965,858.521728515625,148373548.0,5786.218231538313
3008,Russia,1998,1484852223.0,6.1908,2370700000.0,-5.281083333333334,813.0201416015625,148154792.0,5487.639857113515
3009,Russia,1999,1512984706.0,6.3224,2352950000.0,-4.829750000000001,865.053466796875,147698905.0,5856.871225936814
3010,Russia,2000,1499616209.0,6.1063,2418990000.0,-4.545666666666667,951.5587768554688,147053966.0,6470.81342134947
3011,Russia,2001,1538244400.0,6.1192,2329980000.0,-4.490666666666667,1000.0120239257812,146334163.0,6833.756406737238
3012,Russia,2002,1528961747.0,5.9973,2381150000.0,-4.122916666666667,1047.44921875,145529792.0,7197.489973393214
3013,Russia,2003,1562472351.0,5.8156,2552060000.0,-3.8328333333333338,1123.86962890625,144737284.0,7764.893729153091
3014,Russia,2004,1570864198.0,5.5729,2443690000.0,-4.493583333333333,1204.517822265625,144000047.0,8364.704368920275
3015,Russia,2005,1588662864.0,5.4304,2492300000.0,-3.4980833333333337,1281.320068359375,143319518.0,8940.304057953746
3016,Russia,2006,1648658734.0,5.4435,2379410000.0,-4.762999999999999,1385.7916259765625,142735754.0,9708.791155273979
3017,Russia,2007,1647728940.0,5.3359,2352000000.0,-2.9750833333333353,1504.0699462890625,142441276.0,10559.228255502729
3018,Russia,2008,1679794450.0,5.2698,2616540000.0,-3.305416666666666,1583.0029296875,142393151.0,11117.128306876924
3019,Russia,2009,1572439009.0,4.9882,2281070000.0,-4.608500000000002,1459.197998046875,142461491.0,10242.753938654727
3020,Russia,2010,1657560679.0,5.0128,2401660000.0,-4.5205833333333345,1524.916259765625,142526896.0,10699.14733683406
3021,Russia,2011,1712424769.0,4.9842,2478200000.0,-3.401583333333333,1605.50634765625,142525588.0,11264.688468826032
3022,Russia,2012,1726099500.0,4.9431,2541380000.0,-3.90175,1664.2021484375,142517670.0,11677.163599696094
3023,Russia,2013,1665988574.0,4.7319,2413770000.0,-2.2631250000000014,1693.9139404296875,142500482.0,11887.075163926023
3024,Rwanda,1990,537107.42,0.0024,13420000.0,19.545833333333334,2.605442523956299,7140915.0,364.8611591030418
3025,Rwanda,1991,482110.78,0.0021,13400000.0,19.38075,2.5399317741394043,7312394.0,347.3461323527431
3026,Rwanda,1992,482074.14,0.0022,13330000.0,19.691999999999997,2.689095020294189,7496290.0,358.7234512397718
3027,Rwanda,1993,489365.5,0.0022,13250000.0,19.693500000000004,2.471044540405273,7823959.0,315.83045621855547
3028,Rwanda,1994,471992.11,0.0021,13130000.0,19.712416666666666,1.229392409324646,6128862.0,200.59064950795857
3029,Rwanda,1995,460995.53,0.002,12880000.0,19.9635,1.6624345779418943,5384523.0,308.74314733949404
3030,Rwanda,1996,475945.68,0.002,12380000.0,19.477416666666667,1.8743234872817995,6479294.0,289.2789688632433
3031,Rwanda,1997,492882.94,0.0021,12630000.0,19.95575,2.1339125633239746,7563089.0,282.14828138661
3032,Rwanda,1998,481854.3,0.002,12750000.0,19.951833333333337,2.322948932647705,7896686.0,294.16757012342964
3033,Rwanda,1999,503114.86,0.0021,12840000.0,19.508833333333335,2.42197060585022,7986197.0,303.2695794819762
3034,Rwanda,2000,520702.27,0.0021,12730000.0,19.753083333333333,2.6247117519378658,8047103.0,326.1685294618282
3035,Rwanda,2001,522842.06,0.0021,-5750000.0,19.66125,2.8474061489105225,8163136.0,348.8127784359494
3036,Rwanda,2002,521270.7,0.002,-5710000.0,19.94725,3.2230379581451416,8329249.0,386.95420897431956
3037,Rwanda,2003,510113.66,0.0019,-3780000.0,20.094333333333335,3.2940211296081543,8477210.0,388.5737323492227
3038,Rwanda,2004,517276.63,0.0018,-5120000.0,20.08491666666667,3.5393500328063965,8660954.0,408.65590936130087
3039,Rwanda,2005,517111.59,0.0018,-4540000.0,20.432583333333337,3.8712658882141113,8842495.0,437.80244017261083
3040,Rwanda,2006,516730.37,0.0017,4050000.0,20.162833333333335,4.228471279144287,9035491.0,467.98467057786763
3041,Rwanda,2007,545486.93,0.0018,3170000.0,19.76325,4.55328369140625,9266906.0,491.3488591992031
3042,Rwanda,2008,530568.72,0.0017,4730000.0,19.730499999999996,5.061760425567627,9501799.0,532.7160073126812
3043,Rwanda,2009,564426.02,0.0018,3920000.0,20.022666666666666,5.379884243011475,9705671.0,554.3031741969694
3044,Rwanda,2010,579130.34,0.0018,4440000.0,20.267083333333336,5.773083686828612,9923431.0,581.7628687929217
3045,Rwanda,2011,652109.05,0.0019,5410000.0,19.77375,6.222455978393555,10200636.0,610.0066680541837
3046,Rwanda,2012,724525.71,0.0021,5280000.0,19.959416666666666,6.771296977996826,10505592.0,644.5421617360379
3047,Rwanda,2013,790384.82,0.0022,6420000.0,20.103874999999995,7.090465545654298,10831947.0,654.588279065093
3048,Saint Lucia,1990,161216.0,0.0007,840000.0,27.142749999999996,,,
3049,Saint Lucia,1991,168544.0,0.0008,860000.0,27.087166666666665,,,
3050,Saint Lucia,1992,201520.0,0.0009,910000.0,27.103000000000005,,,
3051,Saint Lucia,1993,223504.0,0.001,940000.0,27.247416666666666,,,
3052,Saint Lucia,1994,260144.0,0.0012,1010000.0,27.140249999999998,,,
3053,Saint Lucia,1995,311440.0,0.0014,990000.0,27.49275,,,
3054,Saint Lucia,1996,326096.0,0.0014,930000.0,27.17508333333333,,,
3055,Saint Lucia,1997,307776.0,0.0013,830000.0,27.44208333333333,,,
3056,Saint Lucia,1998,307776.0,0.0013,700000.0,27.812,,,
3057,Saint Lucia,1999,318768.0,0.0013,630000.0,27.328583333333338,,,
3058,Saint Lucia,2000,329760.0,0.0013,550000.0,27.07841666666667,,,
3059,Saint Lucia,2001,362736.0,0.0014,610000.0,27.42125,,,
3060,Saint Lucia,2002,326096.0,0.0013,570000.0,27.462833333333336,,,
3061,Saint Lucia,2003,359072.0,0.0013,600000.0,27.60766666666667,,,
3062,Saint Lucia,2004,355408.0,0.0013,600000.0,27.377916666666675,,,
3063,Saint Lucia,2005,366400.0,0.0013,620000.0,27.858666666666668,,,
3064,Saint Lucia,2006,366400.0,0.0012,860000.0,27.69216666666666,,,
3065,Saint Lucia,2007,384720.0,0.0012,880000.0,27.583250000000003,,,
3066,Saint Lucia,2008,395712.0,0.0012,900000.0,27.20866666666667,,,
3067,Saint Lucia,2009,384720.0,0.0012,890000.0,27.495,,,
3068,Saint Lucia,2010,403040.0,0.0012,920000.0,28.005916666666664,,,
3069,Saint Lucia,2011,406704.0,0.0012,740000.0,27.540166666666668,,,
3070,Saint Lucia,2012,406704.0,0.0012,750000.0,27.57891666666667,,,
3071,Saint Lucia,2013,406704.0,0.0012,760000.0,27.465500000000002,,,
3072,Samoa,1990,102592.0,0.0005,-1710000.0,26.858583333333332,0.38822007179260254,162834.0,2384.146258107045
3073,Samoa,1991,106256.0,0.0005,-1700000.0,26.849083333333336,0.3792909979820252,163692.0,2317.1016175624045
3074,Samoa,1992,109920.0,0.0005,-1700000.0,26.759166666666662,0.3785324394702912,164799.0,2296.934080123612
3075,Samoa,1993,109920.0,0.0005,-1700000.0,26.522916666666664,0.3940522074699402,166119.0,2372.1079916803033
3076,Samoa,1994,113584.0,0.0005,-1660000.0,26.748916666666663,0.3840350210666657,167483.0,2292.979114696212
3077,Samoa,1995,117248.0,0.0005,-1660000.0,27.037333333333333,0.4096641540527344,168887.0,2425.670146623093
3078,Samoa,1996,124576.0,0.0005,-1650000.0,26.845833333333335,0.4390738010406494,170330.0,2577.7831329809746
3079,Samoa,1997,128240.0,0.0005,-1640000.0,26.706916666666668,0.4418988823890686,171806.0,2572.080616445692
3080,Samoa,1998,131904.0,0.0005,-1630000.0,27.121916666666664,0.4515980780124664,173305.0,2605.7994749861027
3081,Samoa,1999,135568.0,0.0006,-1630000.0,26.780333333333328,0.4614674746990204,174755.0,2640.6539137593795
3082,Samoa,2000,142896.0,0.0006,-1600000.0,26.838333333333328,0.4933954477310181,176209.0,2800.0581566833594
3083,Samoa,2001,146560.0,0.0006,370000.0,26.953833333333332,0.527635931968689,177786.0,2967.8148558867906
3084,Samoa,2002,146560.0,0.0006,350000.0,27.236666666666665,0.5505564212799072,179429.0,3068.3803692820397
3085,Samoa,2003,153888.0,0.0006,360000.0,27.022666666666662,0.575416624546051,181088.0,3177.5524857861983
3086,Samoa,2004,150224.0,0.0005,360000.0,27.05775,0.6020296812057495,182772.0,3293.8835336142824
3087,Samoa,2005,161216.0,0.0006,370000.0,27.12433333333333,0.6270529627799988,184491.0,3398.8268413093256
3088,Samoa,2006,164880.0,0.0005,-60000.0,26.834999999999997,0.639398455619812,186252.0,3432.974978093185
3089,Samoa,2007,172208.0,0.0006,-60000.0,27.149249999999995,0.6798253059387207,187956.0,3616.9385704032898
3090,Samoa,2008,179536.0,0.0006,-50000.0,26.671166666666668,0.6866853833198547,189503.0,3623.6122030778133
3091,Samoa,2009,186864.0,0.0006,-40000.0,26.728333333333328,0.653667688369751,190897.0,3424.190471142821
3092,Samoa,2010,186864.0,0.0006,-30000.0,27.16166666666666,0.6567997336387634,192001.0,3420.814129294969
3093,Samoa,2011,201520.0,0.0006,550000.0,26.71558333333334,0.6947532296180725,193161.0,3596.757262687978
3094,Samoa,2012,197856.0,0.0006,540000.0,26.926666666666666,0.6975468993186951,194320.0,3589.6814497668543
3095,Samoa,2013,197856.0,0.0006,550000.0,27.176500000000004,0.6840572953224182,195476.0,3499.4438975752428
3096,Saudi Arabia,1990,185485266.4,0.8362,190620000.0,26.018750000000008,293.9273681640625,16060761.0,18300.96146527941
3097,Saudi Arabia,1991,267386176.1,1.1921,212820000.0,25.77625,338.0396423339844,16305774.0,20731.284656219592
3098,Saudi Arabia,1992,285074114.5,1.2844,227560000.0,24.77125,351.5191345214844,17060750.0,20603.967265301017
3099,Saudi Arabia,1993,313327384.8,1.4144,235950000.0,25.741,346.7253112792969,17636361.0,19659.68553712962
3100,Saudi Arabia,1994,307473247.7,1.3645,250080000.0,26.297583333333336,348.66253662109375,18202417.0,19154.738440564994
3101,Saudi Arabia,1995,234711948.7,1.0202,255120000.0,25.989166666666666,349.4020080566406,18755041.0,18629.765088577547
3102,Saudi Arabia,1996,258263647.3,1.0979,269680000.0,26.432999999999996,358.6172180175781,19293360.0,18587.59791024364
3103,Saudi Arabia,1997,215796742.0,0.9023,253560000.0,25.86766666666667,362.5755615234375,19818379.0,18294.91511507765
3104,Saudi Arabia,1998,207230515.8,0.8640000000000001,271900000.0,26.853749999999994,373.0661926269531,20329087.0,18351.350093929606
3105,Saudi Arabia,1999,225976480.8,0.9443,278620000.0,26.940583333333333,359.0266418457031,20824550.0,17240.547423387452
3106,Saudi Arabia,2000,296353320.6,1.2067,291530000.0,26.642916666666675,379.2234191894531,21311904.0,17793.971819198
3107,Saudi Arabia,2001,296574890.6,1.1798,297910000.0,26.76966666666667,374.6319580078125,21796085.0,17188.038953225434
3108,Saudi Arabia,2002,325681176.8,1.2775,318210000.0,26.62733333333333,364.0704345703125,22274039.0,16345.056887541255
3109,Saudi Arabia,2003,326517114.2,1.2153,331490000.0,26.816666666666666,404.9994812011719,22742890.0,17807.740405954206
3110,Saudi Arabia,2004,394584793.8,1.3999,349910000.0,26.519000000000002,437.2311401367188,23200040.0,18846.137340139016
3111,Saudi Arabia,2005,395854759.6,1.3531,367360000.0,26.495500000000003,461.6017150878906,23642207.0,19524.47650457889
3112,Saudi Arabia,2006,431291967.7,1.4240000000000002,390250000.0,26.558583333333335,474.4730224609375,24073195.0,19709.599098122933
3113,Saudi Arabia,2007,386507147.4,1.2516,412810000.0,26.682583333333337,483.2371520996094,24498521.0,19725.156147165348
3114,Saudi Arabia,2008,432336409.8,1.3563,450540000.0,26.477750000000004,513.4383544921875,24917413.0,20605.604381650195
3115,Saudi Arabia,2009,465844308.7,1.4778,470820000.0,26.827750000000005,502.8653259277344,25328871.0,19853.444155791007
3116,Saudi Arabia,2010,517715947.4,1.5657,515510000.0,27.530083333333334,528.2072143554689,25731776.0,20527.429368088266
3117,Saudi Arabia,2011,497659010.0,1.4485,534470000.0,26.63525000000001,581.0112915039062,26131703.0,22233.96200025334
3118,Saudi Arabia,2012,563179493.4,1.6128,568120000.0,26.988916666666665,612.4524536132812,26534504.0,23081.360541477665
3119,Saudi Arabia,2013,540805232.0,1.536,585750000.0,27.740749999999995,628.9840698242188,26939583.0,23347.95122197024
3120,Senegal,1990,3139035.39,0.0142,21120000.0,28.508,8.057238578796388,7347606.0,1096.580107697172
3121,Senegal,1991,3377965.66,0.0151,21520000.0,28.490333333333336,8.263168334960938,7553972.0,1093.8838977641085
3122,Senegal,1992,3423447.96,0.0154,22070000.0,28.459833333333336,8.365849494934082,7759247.0,1078.1780106928006
3123,Senegal,1993,3537975.01,0.016,22470000.0,28.646500000000003,8.474671363830566,7961004.0,1064.522937537849
3124,Senegal,1994,3836754.0,0.017,22830000.0,28.241083333333332,8.473201751708983,8166145.0,1037.6011877953408
3125,Senegal,1995,3428955.57,0.0149,23240000.0,28.556916666666666,8.92765998840332,8378056.0,1065.6004195249257
3126,Senegal,1996,3663244.19,0.0156,24640000.0,28.775666666666666,9.107295989990234,8594914.0,1059.6145569333485
3127,Senegal,1997,3182354.58,0.0133,25230000.0,28.82133333333333,9.391810417175293,8809850.0,1066.0579257507552
3128,Senegal,1998,3333059.03,0.0139,26470000.0,29.254250000000003,9.945802688598633,9037144.0,1100.5471074267084
3129,Senegal,1999,3603572.13,0.0151,28760000.0,28.12733333333333,10.57707405090332,9252822.0,1143.1187210672938
3130,Senegal,2000,3809306.06,0.0155,28740000.0,28.52608333333333,10.915433883666992,9469281.0,1152.7204529749401
3131,Senegal,2001,4180223.21,0.0166,28110000.0,28.936333333333334,11.415460586547852,9716196.0,1174.8899040887866
3132,Senegal,2002,4345856.24,0.017,27460000.0,28.97816666666667,11.490209579467773,9972439.0,1152.196526794275
3133,Senegal,2003,4804898.17,0.0179,25630000.0,28.704166666666666,12.258127212524414,10240144.0,1197.0659018588424
3134,Senegal,2004,4988506.8,0.0177,27650000.0,28.852083333333336,12.977773666381836,10519120.0,1233.7318774176772
3135,Senegal,2005,5539577.5,0.0189,28640000.0,28.955083333333334,13.707463264465332,10804122.0,1268.7253313564333
3136,Senegal,2006,4421762.37,0.0146,29040000.0,28.630750000000003,14.044881820678713,11096111.0,1265.7481365028439
3137,Senegal,2007,4826645.02,0.0156,28440000.0,28.816833333333335,14.738486289978027,11394298.0,1293.4966498136198
3138,Senegal,2008,4739033.55,0.0149,30060000.0,28.79608333333334,15.33633518218994,11698343.0,1310.983545463656
3139,Senegal,2009,4203728.2,0.0133,29780000.0,28.473749999999995,15.657252311706545,12008068.0,1303.894374324541
3140,Senegal,2010,7280072.95,0.022000000000000002,31390000.0,29.302333333333337,16.215080261230472,12323252.0,1315.8117890659435
3141,Senegal,2011,7819427.33,0.0228,30980000.0,28.77491666666667,16.45155906677246,12643799.0,1301.1563270479435
3142,Senegal,2012,7362867.01,0.0211,30100000.0,28.63558333333333,17.293449401855472,12969606.0,1333.3827875615855
3143,Senegal,2013,7849940.62,0.0223,31330000.0,29.3015,17.7814884185791,13300410.0,1336.9128033330628
3144,Serbia,1990,57607543.09,0.2597,77360000.0,11.196083333333332,50.21550750732422,7786397.0,6449.1326999283765
3145,Serbia,1991,40718952.67,0.1815,67060000.0,9.747083333333334,44.358341217041016,7751781.0,5722.341900144112
3146,Serbia,1992,43293823.23,0.1951,61800000.0,10.975583333333335,31.875961303710934,7712022.0,4133.2819465129805
