Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,674581 BCE,222.57
World,OWID_WRL,673457 BCE,216.12
World,OWID_WRL,673078 BCE,211.69
World,OWID_WRL,672279 BCE,204.67
World,OWID_WRL,671746 BCE,201.12
World,OWID_WRL,670811 BCE,197.13
World,OWID_WRL,670201 BCE,194.79
World,OWID_WRL,669508 BCE,196.83
World,OWID_WRL,669121 BCE,194.88
World,OWID_WRL,668346 BCE,191.51
World,OWID_WRL,667869 BCE,187.66
World,OWID_WRL,666966 BCE,180.67
World,OWID_WRL,666465 BCE,177.71
World,OWID_WRL,665460 BCE,173.71
World,OWID_WRL,664803 BCE,174.77
World,OWID_WRL,663887 BCE,180.54
World,OWID_WRL,663372 BCE,180.17
World,OWID_WRL,662458 BCE,187.77
World,OWID_WRL,662370 BCE,192.55
World,OWID_WRL,661988 BCE,191.02
World,OWID_WRL,660928 BCE,190.86
World,OWID_WRL,660847 BCE,193.91
World,OWID_WRL,660332 BCE,189.69
World,OWID_WRL,659266 BCE,191.59
World,OWID_WRL,659168 BCE,193.97
World,OWID_WRL,658514 BCE,188.43
World,OWID_WRL,657462 BCE,185.68
World,OWID_WRL,657344 BCE,187.38
World,OWID_WRL,656814 BCE,184.1
World,OWID_WRL,655772 BCE,190.88
World,OWID_WRL,655704 BCE,189.23
World,OWID_WRL,655231 BCE,192.93
World,OWID_WRL,654183 BCE,200.35
World,OWID_WRL,653574 BCE,200
World,OWID_WRL,652489 BCE,194.82
World,OWID_WRL,651780 BCE,192.87
World,OWID_WRL,650759 BCE,186.79
World,OWID_WRL,650154 BCE,187.27
World,OWID_WRL,648997 BCE,193.44
World,OWID_WRL,648398 BCE,189.25
World,OWID_WRL,647241 BCE,196.17
World,OWID_WRL,646662 BCE,193.48
World,OWID_WRL,645305 BCE,191.85
World,OWID_WRL,644427 BCE,189.89
World,OWID_WRL,643201 BCE,195.82
World,OWID_WRL,642351 BCE,195.31
World,OWID_WRL,640907 BCE,191.56
World,OWID_WRL,640125 BCE,191.38
World,OWID_WRL,638422 BCE,190.18
World,OWID_WRL,637468 BCE,188.85
World,OWID_WRL,635764 BCE,195.33
World,OWID_WRL,634572 BCE,194
World,OWID_WRL,633059 BCE,194.86
World,OWID_WRL,632931 BCE,195.95
World,OWID_WRL,632128 BCE,193.1
World,OWID_WRL,630407 BCE,196.5
World,OWID_WRL,629576 BCE,200.46
World,OWID_WRL,627916 BCE,200.78
World,OWID_WRL,627820 BCE,205.27
World,OWID_WRL,627190 BCE,199.52
World,OWID_WRL,625880 BCE,205.76
World,OWID_WRL,625019 BCE,215.71
World,OWID_WRL,624097 BCE,228.51
World,OWID_WRL,623448 BCE,235.02
World,OWID_WRL,622547 BCE,237.93
World,OWID_WRL,621105 BCE,239.19
World,OWID_WRL,621001 BCE,243.89
World,OWID_WRL,619701 BCE,243.53
World,OWID_WRL,618334 BCE,245.89
World,OWID_WRL,617004 BCE,248.29
World,OWID_WRL,615660 BCE,252.64
World,OWID_WRL,614407 BCE,252.73
World,OWID_WRL,614349 BCE,252.9
World,OWID_WRL,613191 BCE,252.75
World,OWID_WRL,611993 BCE,256.19
World,OWID_WRL,610812 BCE,258.14
World,OWID_WRL,609651 BCE,259.68
World,OWID_WRL,609601 BCE,257.82
World,OWID_WRL,608480 BCE,257.74
World,OWID_WRL,607297 BCE,259.22
World,OWID_WRL,606029 BCE,254.58
World,OWID_WRL,604676 BCE,248.48
World,OWID_WRL,603353 BCE,244.53
World,OWID_WRL,601999 BCE,239.14
World,OWID_WRL,600651 BCE,237.86
World,OWID_WRL,599305 BCE,232.45
World,OWID_WRL,597865 BCE,229.38
World,OWID_WRL,597268 BCE,225.97
World,OWID_WRL,596380 BCE,219.02
World,OWID_WRL,595854 BCE,216.27
World,OWID_WRL,594841 BCE,216.44
World,OWID_WRL,594272 BCE,221.22
World,OWID_WRL,593486 BCE,232.92
World,OWID_WRL,592914 BCE,237.98
World,OWID_WRL,592097 BCE,238.15
World,OWID_WRL,591611 BCE,233.16
World,OWID_WRL,590836 BCE,229.39
World,OWID_WRL,590433 BCE,225.68
World,OWID_WRL,589069 BCE,237.38
World,OWID_WRL,588539 BCE,243.56
World,OWID_WRL,588090 BCE,248.1
World,OWID_WRL,587475 BCE,250.2
World,OWID_WRL,586991 BCE,246.35
World,OWID_WRL,586329 BCE,238.78
World,OWID_WRL,585939 BCE,234.4
World,OWID_WRL,585222 BCE,225.99
World,OWID_WRL,584771 BCE,223.96
World,OWID_WRL,582009 BCE,210.64
World,OWID_WRL,581624 BCE,206.68
World,OWID_WRL,580886 BCE,209.88
World,OWID_WRL,580505 BCE,215.45
World,OWID_WRL,579978 BCE,219.41
World,OWID_WRL,579597 BCE,225.21
World,OWID_WRL,579169 BCE,230.26
World,OWID_WRL,578864 BCE,236.17
World,OWID_WRL,578452 BCE,243.81
World,OWID_WRL,578261 BCE,244.14
World,OWID_WRL,577883 BCE,251.47
World,OWID_WRL,577331 BCE,252.92
World,OWID_WRL,576792 BCE,249.06
World,OWID_WRL,576246 BCE,251.08
World,OWID_WRL,575704 BCE,251.34
World,OWID_WRL,575165 BCE,251.3
World,OWID_WRL,574649 BCE,252.9
World,OWID_WRL,574163 BCE,252.54
World,OWID_WRL,573705 BCE,248.86
