,Id,Name,Playlist_Id,Album_Id,Date_added,Duration,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Mode,Track_Number,cluster
801,1J6qN3N343TtMaj5tjuixX,Mal de Cap,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,237412.0,3.0,0.336,0.48,-9.266,0.035,0.768,0.524,0.0956,0.17800000000000002,117.929,1,0,6.0,2
802,0Uu1TW6dGg0z0G3DC2faLe,El Món en un Cafè,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,266893.0,27.0,0.55,0.39399999999999996,-9.602,0.0349,0.5760000000000001,0.0425,0.08900000000000001,0.11,125.53200000000001,3,1,7.0,2
803,1A9Y0EocWo8k3moNMJYnmc,El Porquet,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,205505.0,5.0,0.434,0.33399999999999996,-7.843,0.0305,0.616,0.000553,0.24,0.125,126.885,3,1,8.0,2
804,4os4KIDKIcvwwvm0qMzZuG,La Maria És un Animal,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,209293.0,4.0,0.414,0.423,-8.896,0.0261,0.345,0.000605,0.10800000000000001,0.154,84.961,9,1,9.0,2
805,2Peg7b150MWlzuQInGssta,100 Anys,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,231131.0,6.0,0.21899999999999997,0.37,-9.571,0.0284,0.396,0.00592,0.131,0.16699999999999998,72.027,0,1,10.0,2
806,29wD34FDuD3E8XPD7cTJZr,El Fantasma del Capità,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,119904.0,3.0,0.65,0.281,-6.978,0.0279,0.846,7.09e-05,0.09300000000000001,0.585,145.088,7,1,11.0,2
808,1PikhDmXJ01zluoZTsZHzO,Els Nens del Bosc,5arziQ4hgOyxgWqNikNVvO,5P8zOyPW12M2xYkCp6VdiL,2012-06-04T07:29:51Z,214825.0,3.0,0.31,0.466,-7.505,0.0286,0.155,0.00155,0.11599999999999999,0.207,112.057,6,0,13.0,2
810,1fY69J0zVmNCarMexr7mbO,L'Última Nit,5arziQ4hgOyxgWqNikNVvO,2eTEwdKYxW4wsTvMKClNP2,2012-06-04T07:29:59Z,256800.0,18.0,0.68,0.605,-7.516,0.0346,0.8759999999999999,0.161,0.157,0.6829999999999999,149.996,2,0,2.0,2
811,3CEPkrkHdrX9Yv6AQmoQiU,La Platja,5arziQ4hgOyxgWqNikNVvO,2eTEwdKYxW4wsTvMKClNP2,2012-06-04T07:29:59Z,163801.0,30.0,0.635,0.512,-7.532,0.0259,0.514,0.00023199999999999997,0.21899999999999997,0.7,130.00799999999998,8,0,3.0,2
813,165s8wb02rmaO2ocaPziZW,Sota L'arbre,5arziQ4hgOyxgWqNikNVvO,2eTEwdKYxW4wsTvMKClNP2,2012-06-04T07:29:59Z,226944.0,23.0,0.546,0.39799999999999996,-10.888,0.034,0.6709999999999999,0.141,0.188,0.3720000000000001,141.125,5,1,5.0,2
814,23l440TbZ4Y8LvFNYdbvB7,L'Home Que Pasa,5arziQ4hgOyxgWqNikNVvO,2eTEwdKYxW4wsTvMKClNP2,2012-06-04T07:29:59Z,205449.0,13.0,0.272,0.65,-8.765,0.0548,0.515,0.0108,0.0975,0.363,206.69799999999998,7,1,6.0,2
815,6G7Y7TIJsR2ZhmnwzN3y7F,Ella Cus,5arziQ4hgOyxgWqNikNVvO,2eTEwdKYxW4wsTvMKClNP2,2012-06-04T07:29:59Z,145467.0,15.0,0.561,0.133,-16.157,0.0461,0.899,6.39e-06,0.122,0.19699999999999998,100.618,3,1,7.0,2
818,5mWoMLqVl4m1KxylLYeNRa,Jo Vull Ser La Meva Iaia,5arziQ4hgOyxgWqNikNVvO,2eTEwdKYxW4wsTvMKClNP2,2012-06-04T07:29:59Z,160096.0,15.0,0.573,0.745,-8.568999999999999,0.049,0.585,0.000317,0.174,0.42200000000000004,123.867,9,1,10.0,2
819,4HfYBXKu7MhpZU3SNai54a,El Meu Vaixell,5arziQ4hgOyxgWqNikNVvO,2eTEwdKYxW4wsTvMKClNP2,2012-06-04T07:29:59Z,222087.0,16.0,0.405,0.212,-12.363,0.0491,0.898,0.000292,0.19,0.18,93.12,11,0,11.0,2
821,5IcVowcvJfml80IpE9hB4d,Uh!,5arziQ4hgOyxgWqNikNVvO,2eTEwdKYxW4wsTvMKClNP2,2012-06-04T07:29:59Z,142372.0,12.0,0.667,0.621,-10.149,0.10099999999999999,0.841,0.0034,0.27899999999999997,0.47200000000000003,100.715,0,0,13.0,2
822,1bwBkrlQICHxlLVR8obe6b,Sota l'Aigua Hi Ha un Mandril,5arziQ4hgOyxgWqNikNVvO,0NyyLAkHNazzRU2IECmVME,2012-06-04T07:30:06Z,265600.0,0.0,0.585,0.409,-8.499,0.0301,0.674,1.4400000000000001e-05,0.141,0.486,120.04299999999999,4,1,10.0,2
823,4302s5aJBzHiE0hXHqNGvo,Sóc Viu Encara,5arziQ4hgOyxgWqNikNVvO,0NyyLAkHNazzRU2IECmVME,2012-06-04T07:30:06Z,327826.0,0.0,0.5770000000000001,0.505,-6.1960000000000015,0.0531,0.513,0.000465,0.11,0.28800000000000003,160.189,0,1,7.0,2
825,7jytoABZrmD2JvLoRPQpgD,Simplement,5arziQ4hgOyxgWqNikNVvO,0NyyLAkHNazzRU2IECmVME,2012-06-04T07:30:06Z,228906.0,0.0,0.47,0.289,-8.833,0.0285,0.925,0.00020299999999999997,0.10800000000000001,0.243,159.999,0,1,9.0,2
830,4LdsWPNRZ9Ry5xDWRvZ0m2,A Pasturar Cargols,5arziQ4hgOyxgWqNikNVvO,0NyyLAkHNazzRU2IECmVME,2012-06-04T07:30:06Z,144093.0,0.0,0.627,0.491,-8.189,0.07400000000000001,0.585,0.0,0.29,0.557,125.20100000000001,0,1,3.0,2
831,3DisdP3AlvJXdx6B7b113X,A la Vilaverda,,0NyyLAkHNazzRU2IECmVME,2012-06-04T07:30:06Z,281333.0,0.0,0.5579999999999999,0.568,-6.523,0.0446,0.5710000000000001,1.31e-06,0.12300000000000001,0.273,134.83100000000002,0,1,2.0,2
832,0yVsdbM9AMvbTTwFTBPpLR,Si de nit,,5dppFwagnwh2Q2vMkt41Dw,2012-02-28T11:46:20Z,140868.0,12.0,0.68,0.602,-7.97,0.037000000000000005,0.792,0.0242,0.213,0.39399999999999996,104.93,9,0,16.0,2
835,5VKU0Lh9deNkVq046FVIir,Baba O'Riley - Remixed Version,0Kz18Qq6boSucTkU8R2aaF,5pBO9xsL7NiVetrl4bU3A5,1970-01-01T00:00:00Z,309400.0,0.0,0.405,0.6679999999999999,-8.609,0.0376,0.436,0.0875,0.14800000000000002,0.129,118.039,5,1,13.0,2
842,2STKkcZkAEBGU3ekVrHYDr,I Just Don't Know What To Do With Myself,0Kz18Qq6boSucTkU8R2aaF,0rRNLpdA8nA8Sm8Fk490b9,1970-01-01T00:00:00Z,166533.0,3.0,0.366,0.721,-8.094,0.106,0.6559999999999999,0.0,0.107,0.365,94.12200000000001,0,1,4.0,2
848,7KKx4INB8LyGUeNXKiqQHK,Entre Dos Aguas,0Kz18Qq6boSucTkU8R2aaF,3pWmGwLDx5CRtha5fhPdOS,1970-01-01T00:00:00Z,362093.0,8.0,0.45,0.634,-14.734000000000002,0.036000000000000004,0.845,0.872,0.0829,0.907,103.04799999999999,4,0,1.0,2
871,6PRdzYieUc7PZVQRQY5KBV,Tres Segundos,0Kz18Qq6boSucTkU8R2aaF,1d9dJZ5ZSwnDsUsJT7vPH6,1970-01-01T00:00:00Z,213720.0,23.0,0.7020000000000001,0.4320000000000001,-8.126,0.0305,0.46,9.72e-06,0.217,0.213,120.059,4,1,1.0,2
875,23ZDpGqnUDYBvf2Srid60i,Marta,0Kz18Qq6boSucTkU8R2aaF,5iikt2kksgsuMv0eVk3q3v,1970-01-01T00:00:00Z,263373.0,20.0,0.772,0.37799999999999995,-10.280999999999999,0.0315,0.539,9.97e-06,0.0485,0.467,119.958,1,1,3.0,2
876,586SWMAwcR753dDyZnx8J3,The Man Who Can't Be Moved,0Kz18Qq6boSucTkU8R2aaF,045la5i4prOgK6GP16KOtM,1970-01-01T00:00:00Z,242106.0,47.0,0.612,0.619,-5.038,0.0255,0.442,0.0,0.0976,0.35700000000000004,99.897,10,1,1.0,2
881,3WBJJInWdd2AVi9k0A1YII,Meravigliosa Creatura,0Kz18Qq6boSucTkU8R2aaF,1nII0WqBC61NKsifOv097I,1970-01-01T00:00:00Z,187533.0,0.0,0.397,0.127,-15.177,0.0541,0.968,0.0,0.0903,0.389,129.005,1,1,11.0,2
884,1ytTeSRAU6IRo2itVDwtPv,Creep,0Kz18Qq6boSucTkU8R2aaF,4wciNwfgbL74SJG9BFlf2R,1970-01-01T00:00:00Z,238640.0,8.0,0.515,0.43,-9.935,0.0369,0.0102,0.00014099999999999998,0.129,0.10400000000000001,91.84100000000001,7,1,4.0,2
887,7bzwk5mvjHiIxfGrsuAiO7,Hallelujah - Radio Edit,0Kz18Qq6boSucTkU8R2aaF,2WQ7YAchrnJ4cQHgU3Vdwp,1970-01-01T00:00:00Z,255440.0,4.0,0.341,0.177,-9.385,0.0339,0.898,5.9999999999999995e-05,0.10300000000000001,0.158,102.334,0,1,1.0,2
901,1uCZOiz4Y9XXFaUwcLwbS9,El Sitio De Mi Recreo,0Kz18Qq6boSucTkU8R2aaF,5QCqr4YOzZaCKoQ7dZibXM,1970-01-01T00:00:00Z,190626.0,0.0,0.611,0.4920000000000001,-7.348,0.0279,0.6890000000000001,6.75e-05,0.11599999999999999,0.223,119.649,7,1,1.0,2
903,03yc0G2OoH1Eeyu7Piy8fK,I'm Yours,0Kz18Qq6boSucTkU8R2aaF,0hmfkAEc0WQcv1dplyLYte,1970-01-01T00:00:00Z,243494.0,62.0,0.6890000000000001,0.4320000000000001,-9.394,0.0452,0.564,0.0,0.0928,0.747,151.079,11,1,1.0,2
906,3USOTQdPtZlgVurwaqsdI5,Fuck Her Gently,0Kz18Qq6boSucTkU8R2aaF,1AckkxSo39144vOBrJ1GkS,1970-01-01T00:00:00Z,123666.0,56.0,0.521,0.297,-7.022,0.0351,0.732,0.0,0.273,0.517,118.681,2,1,6.0,2
912,09ZGF6mwJVzw5jxqbtT53E,Hope There's Someone,0Kz18Qq6boSucTkU8R2aaF,0hiJeb1ycFFXyW12j61sfB,1970-01-01T00:00:00Z,261200.0,46.0,0.294,0.184,-10.421,0.0405,0.9790000000000001,0.0115,0.14300000000000002,0.0812,141.245,6,1,1.0,2
914,5fcSgMcjJVRaefPlXWEWTc,They Don't Believe,0Kz18Qq6boSucTkU8R2aaF,339D6QHti4JnStRkoUvpI6,1970-01-01T00:00:00Z,191706.0,0.0,0.6829999999999999,0.43,-10.809000000000001,0.0501,0.528,0.000556,0.0953,0.6779999999999999,124.029,0,1,3.0,2
920,2MyNVTCYMp4LBzUY1Q3vXQ,Life on Mars? - 1997 Remaster,0Kz18Qq6boSucTkU8R2aaF,3htuY0OiwfkMfM6NJCRyrI,1970-01-01T00:00:00Z,234226.0,31.0,0.44299999999999995,0.47600000000000003,-12.960999999999999,0.0382,0.326,1.64e-06,0.0681,0.313,123.48299999999999,10,1,16.0,2
926,4Ukzv6kS6DAMKPlIMxIugc,Good Vibrations - 2001 - Remaster,0Kz18Qq6boSucTkU8R2aaF,2mocmg4uVKhxos3jxfZ2dU,1970-01-01T00:00:00Z,217800.0,0.0,0.375,0.389,-10.414000000000001,0.0396,0.222,3.91e-06,0.19399999999999998,0.37799999999999995,146.457,10,0,1.0,2
927,7z0JcZ8PQoAfUaLIXvbyTH,More Than Words,0Kz18Qq6boSucTkU8R2aaF,4hgVjEoyjjCXhMg5dZtGiI,1970-01-01T00:00:00Z,335946.0,14.0,0.621,0.14400000000000002,-14.200999999999999,0.0298,0.46399999999999997,0.0,0.12,0.255,91.354,6,1,8.0,2
931,1yN2z5XVtaAOYGdeEqEuqd,Lemon Tree,0Kz18Qq6boSucTkU8R2aaF,1tM31AqIKHkQkimKDWJFwc,1970-01-01T00:00:00Z,191026.0,13.0,0.6679999999999999,0.478,-8.849,0.0447,0.669,0.0,0.11,0.6779999999999999,143.155,1,1,3.0,2
933,4Pl8ViAolRF4rK8QBMhKd9,Redemption Song,0Kz18Qq6boSucTkU8R2aaF,4qsXcmAgPNSliu6oMQGOQ9,1970-01-01T00:00:00Z,227091.0,6.0,0.6659999999999999,0.259,-10.720999999999998,0.04,0.585,0.0,0.079,0.698,116.08200000000001,0,1,12.0,2
949,15iEXnizukvzpAFbLIRGKs,Hey There Delilah,0Kz18Qq6boSucTkU8R2aaF,2mLd8rJbDhpj9uHh8VvnKI,1970-01-01T00:00:00Z,233200.0,13.0,0.527,0.452,-7.8439999999999985,0.0293,0.8190000000000001,0.0,0.102,0.311,103.851,2,1,1.0,2
958,6hRcrByB9i6rYRiHNh170N,Because You Loved Me,0Kz18Qq6boSucTkU8R2aaF,08aLDHdtfHxjtOmEHusqGC,2010-05-18T09:39:02Z,273066.0,15.0,0.611,0.507,-7.975,0.0305,0.304,0.0,0.107,0.175,119.92,1,1,2.0,2
967,0D4gIeyrMtxOAvCWsTHN9x,"Non, je ne regrette rien",0Kz18Qq6boSucTkU8R2aaF,6I2DFKuP1jIsibWllFGY3Q,2010-05-18T09:49:49Z,142280.0,51.0,0.385,0.354,-6.595,0.028999999999999998,0.858,3.11e-06,0.168,0.4370000000000001,87.061,7,1,1.0,2
969,6uzK0Km6yyvqe9xxHnCKtj,All Shock Up,0Kz18Qq6boSucTkU8R2aaF,1yxxrI4xwtpnilEjqyh7HW,2010-05-18T09:50:22Z,119986.0,0.0,0.71,0.462,-10.981,0.122,0.885,0.00855,0.10800000000000001,0.96,75.262,3,1,7.0,2
978,2n845ZaLOgpNJ3RinFwE1W,My Baby Just Cares For Me,0Kz18Qq6boSucTkU8R2aaF,61NF7dNZGwBTumUCH91sA3,2010-05-18T09:57:55Z,217626.0,9.0,0.753,0.40700000000000003,-10.386,0.0711,0.858,7.07e-06,0.0968,0.522,118.314,6,0,1.0,2
982,3ddVMNawf9ti6vqFeZ6rQi,King Of The Road,0Kz18Qq6boSucTkU8R2aaF,2wgpgDRa0ILoJ5VBqmZerE,2010-05-18T10:01:18Z,148466.0,50.0,0.7070000000000001,0.249,-16.316,0.0822,0.4,3.51e-06,0.0987,0.736,120.51899999999999,6,1,4.0,2
984,1tbqS3srsMbxzCZqTWuq1B,Will You Still Love Me Tomorrow,0Kz18Qq6boSucTkU8R2aaF,6lKLhYCBt4deue3lVMEnLQ,2010-05-18T10:02:41Z,163773.0,1.0,0.574,0.44,-7.847,0.0314,0.654,3.3600000000000004e-05,0.302,0.648,136.92700000000002,0,1,2.0,2
988,2EIaO5knwUA3F2qnf9LV3S,Beyond the Sea,0Kz18Qq6boSucTkU8R2aaF,65okcRJHUVUrFiDG3I1Sz8,2010-05-18T10:06:09Z,172480.0,60.0,0.521,0.516,-7.456,0.0369,0.723,0.0,0.257,0.569,136.483,2,0,17.0,2
990,0iFCiaAWiXP4ItlwQaPOvX,(Everything I Do) I Do It For You,0Kz18Qq6boSucTkU8R2aaF,5BsYE5BZPdZ0E8L2ozhG4a,2010-05-18T10:09:07Z,393826.0,1.0,0.524,0.429,-10.064,0.0279,0.0803,1.3699999999999998e-05,0.0726,0.239,131.20600000000002,1,1,10.0,2
993,1niesTemAki2TpoMqJmNWV,Dust In the Wind,0Kz18Qq6boSucTkU8R2aaF,5uxV37reL9E8HExYNgMiBi,2010-05-18T10:11:25Z,205400.0,5.0,0.491,0.153,-18.88,0.0319,0.318,6.11e-06,0.096,0.381,93.51700000000001,9,0,4.0,2
1007,6bxlOrQv6kcxy51KUPXN88,Cigarettes,0Kz18Qq6boSucTkU8R2aaF,339D6QHti4JnStRkoUvpI6,2010-05-30T18:47:18Z,121546.0,0.0,0.541,0.414,-7.7520000000000024,0.0293,0.799,0.00246,0.11699999999999999,0.21899999999999997,114.639,1,1,1.0,2
