,Name,Score,Price,Pets,Link
309,Belfort Hotel,6.2,€ 86,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/estherea.en-gb.html
310,Apollofirst Boutique Hotel,8.7,€ 91,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cc.en-gb.html
311,Crowne Plaza Amsterdam - South,8.9,€ 154,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html
312,Hotel Leidsegracht,7.8,€ 80,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html
313,EasyStayAmsterdam,6.8,€ 196,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html
314,Hotel Seven one Seven,8.9,€ 571,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/amshofpark.en-gb.html
315,Gr8 Hotel Amsterdam Riverside,7.9,€ 110,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/terminus.en-gb.html
316,Luxury Suites Amsterdam - Member of Warwick Hotels,9.3,€ 405,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html
317,Stayokay Amsterdam Oost,8.4,€ 68,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html
318,City Hotel,6.9,€ 104,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html
319,Frisco Inn,7.5,€ 136,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html
320,Qbic Hotel WTC Amsterdam,8.0,€ 118,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html
321,G hotel,7.9,€ 144,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/jollycarlton.en-gb.html
322,PH Hotel Oosteinde Economy,6.7,€ 73,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html
323,Luxe Suites Roses,9.0,€ 175,0,https://www.booking.com/hotel/nl/postillion-amsterdam-amsterdam.en-gb.html
324,Hotel Freeland,8.1,€ 102,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citadel.en-gb.html
325,Hotel Vossius Vondelpark,7.6,€ 75,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/victoria.en-gb.html
326,The Cabin @ MPS Noorderzon,7.8,€ 185,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html
327,The Student Hotel Amsterdam West,8.5,€ 65,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html
328,BUNK Hotel Amsterdam,8.1,€ 90,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html
329,XO Hotels Van Gogh,8.2,€ 111,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/olympic-amsterdam123.en-gb.html
330,Asile Flottant,8.5,€ 250,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html
331,Hotel Atlanta,7.3,€ 124,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html
332,Dutchies Hostel,8.4,€ 50,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/notting-hill.en-gb.html
333,Hotel Beethoven,7.4,€ 71,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html
334,The Delphi - Amsterdam Townhouse,8.2,€ 177,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/estherea.en-gb.html
335,QO Amsterdam,9.0,€ 250,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cc.en-gb.html
336,Passengership Avanti,7.6,€ 59,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html
337,Mercure Amsterdam City Hotel,8.1,€ 108,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html
338,Hotel Allure,7.7,€ 111,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html
339,'t Hotel,9.1,€ 175,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/amshofpark.en-gb.html
340,Eden Studios and Apartments,8.2,€ 208,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/terminus.en-gb.html
341,Hotel Mevlana,6.8,€ 49,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html
342,WOW Amsterdam Hostel,7.6,€ 118,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html
343,THIS HO(S)TEL,-1,€ 666666,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html
344,No. 377 House,8.3,€ 115,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html
345,Hotel Victorie,7.1,€ 122,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html
346,Hotel V Frederiksplein,8.1,€ 165,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/jollycarlton.en-gb.html
347,Rembrandt Square Hotel,7.5,€ 151,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html
348,TSH Amsterdam West,9.1,€ 85,0,https://www.booking.com/hotel/nl/postillion-amsterdam-amsterdam.en-gb.html
349,A'dam Houseboat,8.7,€ 164,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citadel.en-gb.html
350,Sara's Boutique Hotel,7.1,€ 139,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/victoria.en-gb.html
351,V Lofts,8.8,€ 335,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html
352,NL Hotel District Leidseplein,7.9,€ 107,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html
353,Passengership Avanti,7.6,€ 59,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html
354,Leidse Square 5 star Luxury Apartment,9.6,€ 288,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/olympic-amsterdam123.en-gb.html
355,Canal House Suites at Sofitel Legend The Grand Amsterdam,9.8,€ 773,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html
356,Bastion Hotel Amsterdam Noord,7.1,€ 95,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html
357,Hotel Leidsegracht,7.8,€ 80,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/notting-hill.en-gb.html
358,Hotel Seven one Seven,8.9,€ 571,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html
359,23 SouS,9.3,€ 164,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/estherea.en-gb.html
360,"Skotel Amsterdam, Hotelschool The Hague",9.1,€ 125,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cc.en-gb.html
361,Hotel Washington,7.4,€ 77,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html
362,Hapimag Apartments Amsterdam,8.9,€ 262,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html
363,Anna Houseboat,9.3,€ 72,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html
364,Element Amsterdam,8.8,€ 165,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/amshofpark.en-gb.html
365,WesterVilla,9.2,€ 164,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/terminus.en-gb.html
366,Hotel Isis,7.1,€ 219,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html
367,City Studios,8.3,€ 92,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html
368,Cafe Modern,8.8,€ 97,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html
369,Short Stay Group Harbour Loft Studios,6.9,€ 105,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html
370,Petit Prince,9.6,€ 186,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html
371,Train Lodge Amsterdam,8.2,€ 94,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/jollycarlton.en-gb.html
372,Amsterdam B&B Barangay,9.7,€ 162,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html
373,B&B City Farmer Amsterdam,8.6,€ 60,0,https://www.booking.com/hotel/nl/postillion-amsterdam-amsterdam.en-gb.html
374,Huis Roomolen,9.8,€ 195,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citadel.en-gb.html
375,B & B Tulp Amsterdam Noord,9.6,€ 96,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/victoria.en-gb.html
376,Milkhouse Luxury Stay Amsterdam,9.8,€ 299,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/monet-garden-amsterdam.en-gb.html
377,A B&B Amsterdam,9.2,€ 205,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/mai-amsterdam.en-gb.html
378,De Bedstee Boutique Capsules,8.3,€ 82,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/park-inn-by-radisson-amsterdam-city-west.en-gb.html
379,EMPIRIC Keizersgracht,9.0,€ 147,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/olympic-amsterdam123.en-gb.html
380,Duplex near Anne Frank Museum,8.9,€ 330,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhamsterdam.en-gb.html
381,Short Stay Group East Quarter Serviced Apartments Amsterdam,7.7,€ 138,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/pestana-amsterdam-riverside.en-gb.html
382,Our beautiful homestay,6.7,€ 69,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/notting-hill.en-gb.html
383,Stieglitz Suites,9.5,€ 310,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhghkrasnapolsky.en-gb.html
384,Hotel Teun,7.6,€ 101,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/estherea.en-gb.html
385,Hotel Iron Horse Leidse Square,8.0,€ 157,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cc.en-gb.html
386,NH Amsterdam Zuid,7.8,€ 139,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/cityden-amsterdam-west.en-gb.html
387,Short Stay Group NDSM Serviced Apartments Amsterdam,8.1,€ 176,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/citizenm-amsterdam-amstel.en-gb.html
388,The Yays - Crane Apartment,9.3,€ 324,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/inntel-hotels-amsterdam-centre.en-gb.html
389,Great Location in City Center Amsterdam,-1,€ 666666,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/amshofpark.en-gb.html
390,B&B City Farmer Amsterdam,8.6,€ 60,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/terminus.en-gb.html
391,Misc Eatdrinksleep,9.2,€ 214,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/jakarta-amsterdam.en-gb.html
392,Classy Room 17th C Canalhouse,9.5,€ 143,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/holiday-inn-express-amsterdam-motorkade.en-gb.html
393,Top Of The City,9.4,€ 351,"
Free!
Pets are allowed on request. No extra charges.
",https://www.booking.com/hotel/nl/the-hoxton-amsterdam.en-gb.html
394,La Remise,8.8,€ 135,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/radissonamsterdam.en-gb.html
395,The Blue Stairs,9.6,€ 291,"
Pets are allowed on request. Charges may be applicable.
",https://www.booking.com/hotel/nl/nhbarbizon.en-gb.html
396,Rokin Hotel,7.7,€ 144,"
Pets are allowed. Charges may be applicable.
",https://www.booking.com/hotel/nl/jollycarlton.en-gb.html
397,The Flying Pig Uptown,8.2,€ 60,"
Pets are not allowed.
",https://www.booking.com/hotel/nl/library-amsterdam.en-gb.html
