,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
64,0.644,0.669,2,-5.669,1,0.0299,0.215,0.00139,0.106,0.558,125.949,audio_features,48dS5AHBC1WHDTgaxpTFad,spotify:track:48dS5AHBC1WHDTgaxpTFad,https://api.spotify.com/v1/tracks/48dS5AHBC1WHDTgaxpTFad,https://api.spotify.com/v1/audio-analysis/48dS5AHBC1WHDTgaxpTFad,271640,4
65,0.547,0.415,7,-8.202,1,0.028,0.412,4.5e-06,0.109,0.393,151.748,audio_features,5640MIYL2xQVymDC4Y7m1u,spotify:track:5640MIYL2xQVymDC4Y7m1u,https://api.spotify.com/v1/tracks/5640MIYL2xQVymDC4Y7m1u,https://api.spotify.com/v1/audio-analysis/5640MIYL2xQVymDC4Y7m1u,239480,4
66,0.918,0.637,8,-10.008,0,0.197,0.00447,1.75e-05,0.129,0.48,117.983,audio_features,0hcDVb05Zlm5TcnQpca8ob,spotify:track:0hcDVb05Zlm5TcnQpca8ob,https://api.spotify.com/v1/tracks/0hcDVb05Zlm5TcnQpca8ob,https://api.spotify.com/v1/audio-analysis/0hcDVb05Zlm5TcnQpca8ob,150642,4
67,0.8,0.578,1,-7.733,1,0.16,0.00239,8.42e-05,0.0698,0.617,161.06,audio_features,1q0ys7cBV1M0RbSqttSOKc,spotify:track:1q0ys7cBV1M0RbSqttSOKc,https://api.spotify.com/v1/tracks/1q0ys7cBV1M0RbSqttSOKc,https://api.spotify.com/v1/audio-analysis/1q0ys7cBV1M0RbSqttSOKc,155031,4
68,0.847,0.914,6,-3.91,0,0.273,0.156,0.0,0.069,0.599,129.979,audio_features,5WVYYhj3KcVr65sbFoHuFn,spotify:track:5WVYYhj3KcVr65sbFoHuFn,https://api.spotify.com/v1/tracks/5WVYYhj3KcVr65sbFoHuFn,https://api.spotify.com/v1/audio-analysis/5WVYYhj3KcVr65sbFoHuFn,177573,4
69,0.72,0.764,6,-7.115,1,0.0859,0.336,0.0517,0.262,0.286,102.963,audio_features,6QM2zbkTkTfL7r1WqOtwWM,spotify:track:6QM2zbkTkTfL7r1WqOtwWM,https://api.spotify.com/v1/tracks/6QM2zbkTkTfL7r1WqOtwWM,https://api.spotify.com/v1/audio-analysis/6QM2zbkTkTfL7r1WqOtwWM,137278,4
70,0.726,0.692,9,-6.085,0,0.0383,0.113,0.0,0.105,0.89,109.988,audio_features,6zOChelkpKGmTVID04sM62,spotify:track:6zOChelkpKGmTVID04sM62,https://api.spotify.com/v1/tracks/6zOChelkpKGmTVID04sM62,https://api.spotify.com/v1/audio-analysis/6zOChelkpKGmTVID04sM62,238643,4
71,0.698,0.719,0,-5.195,0,0.0559,0.00787,0.0,0.145,0.933,116.01,audio_features,4I96ACDYHhL21j2Lv0YuVI,spotify:track:4I96ACDYHhL21j2Lv0YuVI,https://api.spotify.com/v1/tracks/4I96ACDYHhL21j2Lv0YuVI,https://api.spotify.com/v1/audio-analysis/4I96ACDYHhL21j2Lv0YuVI,194486,4
72,0.681,0.859,7,-5.827,1,0.0403,0.154,9.66e-06,0.0696,0.704,114.005,audio_features,1bdMRYPSF42hY3rWjGiqGB,spotify:track:1bdMRYPSF42hY3rWjGiqGB,https://api.spotify.com/v1/tracks/1bdMRYPSF42hY3rWjGiqGB,https://api.spotify.com/v1/audio-analysis/1bdMRYPSF42hY3rWjGiqGB,209244,4
73,0.636,0.705,9,-6.601,0,0.0948,0.116,0.0,0.169,0.641,100.058,audio_features,3cbqtszRNyQPurn6YeMNb5,spotify:track:3cbqtszRNyQPurn6YeMNb5,https://api.spotify.com/v1/tracks/3cbqtszRNyQPurn6YeMNb5,https://api.spotify.com/v1/audio-analysis/3cbqtszRNyQPurn6YeMNb5,218575,4
