,Id,Name,Playlist_Id,Album_Id,Date_added,Duration,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Key,Mode,Track_Number,cluster
204,03eB0ePvBkMWAb71U4NSUt,La radio qui chante,5mLQ2pzeGmEwuc7NFrsmp6,02pJfslD8brbZZj5FmEUfA,2016-10-21T09:36:30Z,206638.0,25.0,0.763,0.79,-7.7970000000000015,0.185,0.35100000000000003,0.0,0.0488,0.767,140.009,10,1,2.0,3
225,7y5kodp17HH6dCrWBAc0iD,Dring Dring (feat. Riva Starr),5mLQ2pzeGmEwuc7NFrsmp6,1tk40ApFubqn4XrMkGIjbJ,2016-11-01T17:46:18Z,285120.0,0.0,0.981,0.731,-5.881,0.174,0.209,0.899,0.0912,0.8490000000000001,128.012,6,1,3.0,3
230,33COLW0pVVZq6wgR8zK8aj,Rongrakatikatong,5mLQ2pzeGmEwuc7NFrsmp6,3KTunf9B8ArXtfpuvi3fbb,2016-11-01T17:57:50Z,156840.0,36.0,0.9229999999999999,0.7829999999999999,-8.208,0.142,0.569,4.88e-05,0.0699,0.8590000000000001,110.061,5,1,3.0,3
239,3PnOOmkxruDDAiMYZZTgO7,Goodbye (feat. Lyse) - Radio Edit,5mLQ2pzeGmEwuc7NFrsmp6,2UGPPuVJHDKLYd9Z2G7zS4,2016-11-01T18:03:51Z,201938.0,57.0,0.8320000000000001,0.8759999999999999,-5.124,0.205,0.17300000000000001,0.737,0.162,0.635,120.057,6,0,1.0,3
240,6C3dzW9wasv9K0safs7NzT,The Dirty Side of the Street,5mLQ2pzeGmEwuc7NFrsmp6,38ojnzxpPFT09ee03aCTK7,2016-11-01T18:04:14Z,219000.0,30.0,0.795,0.9690000000000001,-3.6919999999999997,0.273,0.451,0.000356,0.0944,0.716,132.977,8,1,3.0,3
262,4Z5CJbtwOIANSjLbfGXhjB,Mahalageasca - Bucovina Dub,5mLQ2pzeGmEwuc7NFrsmp6,3S0x0V6Ypgfgog3fzArZRo,2016-11-02T12:15:17Z,256053.0,0.0,0.8420000000000001,0.835,-5.092,0.27,0.424,0.539,0.528,0.853,119.961,9,0,11.0,3
270,1oimGZ59krfps9h0avkOsX,Clap Your Hands,5mLQ2pzeGmEwuc7NFrsmp6,6wQbBDdCXdZp5InaBikoka,2016-11-03T16:24:51Z,197493.0,37.0,0.865,0.748,-5.4110000000000005,0.242,0.6970000000000001,0.00689,0.506,0.951,116.836,1,1,4.0,3
271,58x6LBD5b6Tu7IPsYL99oG,Cinnamon Girl,5mLQ2pzeGmEwuc7NFrsmp6,3lH4gaKdQ12d4OewBkaVWl,2016-11-23T14:30:15Z,240800.0,35.0,0.976,0.601,-7.693,0.196,0.132,0.546,0.268,0.924,121.50200000000001,6,0,1.0,3
281,6C3dzW9wasv9K0safs7NzT,The Dirty Side of the Street,7nW9BlocQCzpeLwufiJ4RJ,38ojnzxpPFT09ee03aCTK7,2016-12-02T18:24:01Z,219000.0,30.0,0.795,0.9690000000000001,-3.6919999999999997,0.273,0.451,0.000356,0.0944,0.716,132.977,8,1,3.0,3
287,58x6LBD5b6Tu7IPsYL99oG,Cinnamon Girl,7nW9BlocQCzpeLwufiJ4RJ,3lH4gaKdQ12d4OewBkaVWl,2016-12-02T18:24:01Z,240800.0,35.0,0.976,0.601,-7.693,0.196,0.132,0.546,0.268,0.924,121.50200000000001,6,0,1.0,3
292,3PnOOmkxruDDAiMYZZTgO7,Goodbye (feat. Lyse) - Radio Edit,7nW9BlocQCzpeLwufiJ4RJ,2UGPPuVJHDKLYd9Z2G7zS4,2016-12-02T18:24:01Z,201938.0,57.0,0.8320000000000001,0.8759999999999999,-5.124,0.205,0.17300000000000001,0.737,0.162,0.635,120.057,6,0,1.0,3
303,1pX5XE5hajZQ4lB6HuMVKa,Felicidad,7nW9BlocQCzpeLwufiJ4RJ,1zIyzZFhqB27mVPqnwJpTs,2016-12-02T18:24:01Z,254653.0,48.0,0.669,0.914,-3.3139999999999996,0.184,0.136,0.0,0.16899999999999998,0.919,102.00200000000001,7,1,1.0,3
309,4Z5CJbtwOIANSjLbfGXhjB,Mahalageasca - Bucovina Dub,7nW9BlocQCzpeLwufiJ4RJ,3S0x0V6Ypgfgog3fzArZRo,2016-12-02T18:24:01Z,256053.0,0.0,0.8420000000000001,0.835,-5.092,0.27,0.424,0.539,0.528,0.853,119.961,9,0,11.0,3
319,7y5kodp17HH6dCrWBAc0iD,Dring Dring (feat. Riva Starr),7nW9BlocQCzpeLwufiJ4RJ,1tk40ApFubqn4XrMkGIjbJ,2016-12-02T18:24:01Z,285120.0,0.0,0.981,0.731,-5.881,0.174,0.209,0.899,0.0912,0.8490000000000001,128.012,6,1,3.0,3
324,1oimGZ59krfps9h0avkOsX,Clap Your Hands,7nW9BlocQCzpeLwufiJ4RJ,6wQbBDdCXdZp5InaBikoka,2016-12-02T18:24:01Z,197493.0,37.0,0.865,0.748,-5.4110000000000005,0.242,0.6970000000000001,0.00689,0.506,0.951,116.836,1,1,4.0,3
337,33COLW0pVVZq6wgR8zK8aj,Rongrakatikatong,7nW9BlocQCzpeLwufiJ4RJ,3KTunf9B8ArXtfpuvi3fbb,2016-12-02T18:24:01Z,156840.0,36.0,0.9229999999999999,0.7829999999999999,-8.208,0.142,0.569,4.88e-05,0.0699,0.8590000000000001,110.061,5,1,3.0,3
352,03eB0ePvBkMWAb71U4NSUt,La radio qui chante,7nW9BlocQCzpeLwufiJ4RJ,02pJfslD8brbZZj5FmEUfA,2016-12-02T18:24:01Z,206638.0,25.0,0.763,0.79,-7.7970000000000015,0.185,0.35100000000000003,0.0,0.0488,0.767,140.009,10,1,2.0,3
356,00AoRZ8103mVeOVfpTfGuR,Mayor Que Yo 3,28RqwFckD9aUZqyksBUCKw,0EICi9JxWqN4cUUTAxyHdG,2016-09-22T10:56:47Z,304746.0,3.0,0.6609999999999999,0.9590000000000001,-3.193,0.223,0.111,0.0,0.228,0.5489999999999999,92.10799999999999,1,0,1.0,3
373,5h39osdpwQMI8G0BlN9V37,Carpe Diem,17G5Gs4hjwytQt3l6mkph2,55VZKUnoh3FnEYIgAPWrZi,2016-08-23T09:59:07Z,195293.0,18.0,0.626,0.721,-11.165,0.38,0.508,3.76e-05,0.152,0.121,153.101,7,1,3.0,3
388,33COLW0pVVZq6wgR8zK8aj,Rongrakatikatong,4uBsB8VrlhHkN9Zazl0hO8,3KTunf9B8ArXtfpuvi3fbb,2016-04-19T15:53:11Z,156840.0,36.0,0.9229999999999999,0.7829999999999999,-8.208,0.142,0.569,4.88e-05,0.0699,0.8590000000000001,110.061,5,1,3.0,3
452,2DNmAx0za1z7vKj9RwDHqe,Mambo Italiano,7bsAR19p7zO45OpIpiCqQB,7ggLhrUL8HhWYHcLsVHRkp,2015-09-29T10:12:49Z,150466.0,1.0,0.613,0.465,-12.394,0.19899999999999998,0.726,0.0,0.11900000000000001,0.823,149.247,10,1,7.0,3
457,4R5fpGNoTVKXQMUUaZPtwD,Boogie Woogie Bugle Boy - Remastered,7bsAR19p7zO45OpIpiCqQB,0ZDGMhjUl9yhB1cjis4f2U,2015-09-29T10:19:42Z,164160.0,42.0,0.618,0.737,-8.147,0.257,0.8440000000000001,1.5399999999999998e-05,0.171,0.882,165.104,2,1,21.0,3
461,3w6m1sTs8qXiuITB0sziwY,Jump In the Line,7bsAR19p7zO45OpIpiCqQB,6R01S7gKUuzGXx441hHSeh,2015-09-29T11:20:27Z,219080.0,37.0,0.605,0.868,-7.476,0.25,0.747,0.0,0.377,0.815,116.43700000000001,5,1,9.0,3
494,03eB0ePvBkMWAb71U4NSUt,La radio qui chante,64JY1fITMumLMHvbjyhYHS,02pJfslD8brbZZj5FmEUfA,2016-04-19T15:32:25Z,206638.0,25.0,0.763,0.79,-7.7970000000000015,0.185,0.35100000000000003,0.0,0.0488,0.767,140.009,10,1,2.0,3
495,3PnOOmkxruDDAiMYZZTgO7,Goodbye (feat. Lyse) - Radio Edit,64JY1fITMumLMHvbjyhYHS,2UGPPuVJHDKLYd9Z2G7zS4,2016-06-16T08:58:33Z,201938.0,57.0,0.8320000000000001,0.8759999999999999,-5.124,0.205,0.17300000000000001,0.737,0.162,0.635,120.057,6,0,1.0,3
496,6C3dzW9wasv9K0safs7NzT,The Dirty Side of the Street,64JY1fITMumLMHvbjyhYHS,38ojnzxpPFT09ee03aCTK7,2016-07-26T10:36:08Z,219000.0,30.0,0.795,0.9690000000000001,-3.6919999999999997,0.273,0.451,0.000356,0.0944,0.716,132.977,8,1,3.0,3
502,41mqT9VZCiE4r9Kpga5Frr,"Tu Vuo Fa 'L'Americano - From ""The American"" Soundtrack",64JY1fITMumLMHvbjyhYHS,0WG3ahQQelMxtsjTAW5psE,2016-11-07T09:19:59Z,208586.0,33.0,0.81,0.345,-8.751,0.161,0.721,0.0,0.0737,0.922,91.255,10,0,1.0,3
517,79lr4r97aN8qM5B2mmtHA3,Get Happy,6F0bDRMilmN0VdkEtsS0Cz,1VuCANtzxz5NtmOD2x0y2e,2015-09-07T10:11:41Z,176706.0,17.0,0.483,0.47200000000000003,-9.083,0.172,0.784,0.875,0.395,0.87,169.325,10,1,14.0,3
521,7vytlez7k5MAGsktk2kBVW,Inevitable,6F0bDRMilmN0VdkEtsS0Cz,1VuCANtzxz5NtmOD2x0y2e,2015-09-07T10:11:41Z,249080.0,17.0,0.785,0.457,-9.384,0.18899999999999997,0.745,0.0,0.153,0.42200000000000004,90.948,7,0,18.0,3
536,2Uugebngy45ics7E423UY3,ave cesaria,7EHzH8D5Fv7EWf76tDTSvH,4WW3ME0M2dUoAK5hmbXsN7,2015-01-02T10:00:12Z,249520.0,4.0,0.718,0.655,-8.252,0.214,0.133,1.87e-06,0.22899999999999998,0.39399999999999996,112.96799999999999,11,0,4.0,3
541,06dOu8Z9GK7XrEvRB8mpVa,humain à l'eau,7EHzH8D5Fv7EWf76tDTSvH,4WW3ME0M2dUoAK5hmbXsN7,2015-01-02T10:00:12Z,239226.0,0.0,0.838,0.743,-9.097999999999999,0.332,0.031,0.0,0.0852,0.423,138.02,11,0,9.0,3
543,4hchlt88rTtEVsSUnD3Yt1,sommeil,7EHzH8D5Fv7EWf76tDTSvH,4WW3ME0M2dUoAK5hmbXsN7,2015-01-02T10:00:12Z,218653.0,0.0,0.642,0.628,-7.454,0.195,0.0826,6.43e-06,0.261,0.414,126.56200000000001,0,1,11.0,3
545,700Aii38mFibBOITI4gGq7,avf,7EHzH8D5Fv7EWf76tDTSvH,4WW3ME0M2dUoAK5hmbXsN7,2015-01-02T10:00:12Z,225053.0,1.0,0.847,0.69,-8.052999999999999,0.163,0.00373,9.28e-06,0.0597,0.816,137.012,10,0,13.0,3
546,5ruafk5zaYMFjk8UeujQhP,Bienvenue Chez Moi,7EHzH8D5Fv7EWf76tDTSvH,3XAyEMflBDI6eDhnKikvbd,2015-01-02T10:00:17Z,175680.0,1.0,0.586,0.775,-9.123,0.39299999999999996,0.12,0.0,0.14400000000000002,0.23399999999999999,111.471,0,1,1.0,3
