text,retweets,replies,tweet_interactions
5,3454,1061,4515
1,20,147,167
8,6454,961,7415
6,6601,1170,7771
4,15837,1181,17018
4,11004,1113,12117
2,965,182,1147
1,164,89,253
4,1199,471,1670
1,355,1028,1383
4,1976,345,2321
2,1660,408,2068
5,1186,555,1741
7,2248,351,2599
4,2200,181,2381
3,900,165,1065
21,18402,2004,20406
3,1568,307,1875
1,1644,235,1879
4,6627,571,7198
11,2812,679,3491
7,2127,750,2877
12,6295,1029,7324
8,11731,1837,13568
3,2350,1055,3405
9,4054,1733,5787
6,20334,1678,22012
1,1739,553,2292
1,818,204,1022
1,19,20,39
3,7511,605,8116
2,2611,353,2964
1,568,86,654
3,3974,652,4626
7,9000,1026,10026
2,134,70,204
1,27,96,123
1,2156,472,2628
4,3454,479,3933
1,2597,163,2760
1,291,107,398
1,1894,548,2442
1,1229,227,1456
1,2159,144,2303
2,4918,919,5837
2,147,64,211
1,1949,147,2096
5,2146,409,2555
3,5736,1660,7396
10,7648,2048,9696
1,896,338,1234
4,14714,804,15518
6,2103,316,2419
8,2315,2673,4988
2,1632,283,1915
1,14,29,43
11,4522,781,5303
4,8774,758,9532
1,1270,143,1413
9,14297,1034,15331
6,11780,1461,13241
4,353,116,469
2,277,52,329
6,3401,731,4132
2,1840,377,2217
2,1239,335,1574
2,82,85,167
3,2874,573,3447
5,6138,931,7069
8,15997,1564,17561
1,30,22,52
3,1963,717,2680
1,210,55,265
5,8387,1763,10150
15,25498,3179,28677
1,5732,443,6175
2,1138,327,1465
1,14,37,51
2,2539,1005,3544
4,3310,727,4037
6,8666,1830,10496
1,11,12,23
4,3279,367,3646
25,6966,1644,8610
7,613,199,812
1,5246,714,5960
1,25,29,54
1,2004,304,2308
5,4580,786,5366
2,2759,470,3229
1,45,31,76
7,8398,971,9369
5,4752,835,5587
2,25,106,131
1,40,38,78
1,5834,544,6378
1,4594,651,5245
1,2812,138,2950
1,11891,800,12691
2,250,262,512
5,25621,5657,31278
2,83,60,143
1,3,11,14
2,5338,932,6270
9,872,273,1145
15,6395,1059,7454
2,683,159,842
4,1559,627,2186
1,3039,492,3531
1,84,28,112
1,26,16,42
3,1595,398,1993
1,32,36,68
3,359,139,498
8,2809,652,3461
2,6614,1176,7790
3,9526,805,10331
6,1257,443,1700
1,832,191,1023
8,4222,479,4701
6,2346,591,2937
8,1025,313,1338
1,30,13,43
6,5323,769,6092
14,20936,4392,25328
2,5981,1258,7239
2,3208,632,3840
6,33196,6633,39829
6,14466,2381,16847
1,60,88,148
1,46,53,99
1,22714,4895,27609
17,30147,6150,36297
42,18990,5595,24585
9,7944,1085,9029
4,1492,347,1839
1,8,13,21
3,2125,403,2528
1,85,51,136
4,22256,1375,23631
9,9916,2327,12243
3,2129,559,2688
11,7736,1712,9448
3,36588,3090,39678
1,853,219,1072
5,100,103,203
3,6511,1474,7985
2,33612,3287,36899
2,4200,375,4575
1,8614,1083,9697
3,5052,1525,6577
3,6900,783,7683
1,1329,218,1547
10,6550,1764,8314
1,84,51,135
3,4742,536,5278
1,18,66,84
3,547,154,701
1,31,34,65
49,32866,6412,39278
8,5799,1617,7416
2,722,466,1188
1,12384,1294,13678
10,4181,1599,5780
3,12353,1924,14277
4,481,203,684
3,3624,990,4614
1,6139,405,6544
3,1186,881,2067
4,2053,915,2968
4,16370,2161,18531
2,27,69,96
1,14,41,55
2,336,441,777
3,28,35,63
1,8,13,21
4,12485,2075,14560
6,20782,2667,23449
1,757,382,1139
11,6181,17671,23852
2,1541,1027,2568
2,1493,582,2075
10,10796,2256,13052
4,1884,1368,3252
8,7834,1720,9554
5,7595,1983,9578
6,5076,1490,6566
2,2465,449,2914
5,13781,2739,16520
3,321,249,570
1,8,31,39
24,5059,1569,6628
3,570,400,970
5,118,104,222
