date,text,retweets,replies,favorites,tweet_interactions
2014-02-25,2,1821,279,1890,3990
2014-03-05,1,473,182,844,1499
2014-03-07,1,16,26,37,79
2014-03-10,1,9,7,34,50
2014-03-11,2,1741,259,945,2945
2014-03-14,6,3405,652,3197,7254
2014-03-17,1,1082,279,378,1739
2014-03-19,1,3,8,26,37
2014-03-25,1,11,11,74,96
2014-03-31,3,336,260,1317,1913
2014-04-01,1,681,124,629,1434
2014-04-05,4,483,90,725,1298
2014-04-07,7,822,253,1267,2342
2014-04-08,3,1091,285,1312,2688
2014-04-17,1,653,103,950,1706
2014-04-18,9,3623,582,3890,8095
2014-04-19,2,1437,308,1662,3407
2014-04-24,2,641,94,771,1506
2014-04-26,1,252,64,339,655
2014-04-29,6,1955,252,2352,4559
2014-05-02,2,1615,350,1316,3281
2014-05-08,1,557,142,278,977
2014-05-10,1,106,41,300,447
2014-05-14,2,3072,506,5368,8946
2014-05-22,1,363,41,500,904
2014-05-23,8,3292,461,2931,6684
2014-05-24,2,42,18,110,170
2014-05-25,1,1504,121,2181,3806
2014-05-29,2,507,80,666,1253
2014-05-31,1,556,115,555,1226
2014-06-04,1,261,84,358,703
2014-06-11,1,4,7,32,43
2014-06-12,2,8687,1483,6670,16840
2014-06-17,3,3591,504,3862,7957
2014-06-19,1,722,181,762,1665
2014-07-01,1,446,69,575,1090
2014-07-10,2,724,131,791,1646
2014-07-14,3,1598,318,1862,3778
2014-07-19,1,136,99,251,486
2014-07-23,1,488,81,551,1120
2014-07-26,1,110,168,581,859
2014-08-03,6,8573,1431,9976,19980
2014-08-05,4,3398,311,4564,8273
2014-08-15,3,2253,383,2388,5024
2014-08-19,1,984,115,906,2005
2014-08-23,2,2572,599,3971,7142
2014-08-25,4,543,191,931,1665
2014-09-01,1,1262,194,1149,2605
2014-09-07,4,5667,438,6476,12581
2014-09-08,2,1499,158,2428,4085
2014-09-09,2,1361,225,3189,4775
2014-09-10,1,0,3,36,39
2014-09-11,1,1516,281,1914,3711
2014-09-16,3,2748,343,4313,7404
2014-09-20,2,355,103,643,1101
2014-09-29,1,408,52,476,936
2014-10-02,2,13843,2485,13155,29483
2014-10-09,1,1089,259,2137,3485
2014-10-11,1,1295,223,1437,2955
2014-10-16,1,1129,144,2822,4095
2014-10-17,1,685,147,435,1267
2014-10-18,1,564,66,708,1338
2014-10-26,1,2084,454,4442,6980
2014-10-28,3,1925,359,3095,5379
2014-10-31,1,1174,79,1818,3071
2014-11-04,1,618,102,734,1454
2014-11-07,1,521,95,600,1216
2014-11-11,2,2283,268,2604,5155
2014-11-18,1,677,111,1318,2106
2014-11-19,2,3069,420,5521,9010
2014-11-21,2,1194,169,1842,3205
2014-11-22,4,1961,309,3195,5465
2014-11-23,3,481,140,780,1401
2014-11-24,1,120,102,344,566
2014-12-08,2,1087,449,2654,4190
2014-12-19,4,2486,317,3229,6032
2014-12-20,2,3116,395,5131,8642
2014-12-25,1,1757,208,2494,4459
2014-12-26,2,751,261,1731,2743
2014-12-30,1,353,49,527,929
2014-12-31,1,4394,550,5082,10026
2015-01-05,2,4420,467,4319,9206
2015-01-06,3,2337,396,2661,5394
2015-01-10,11,16385,2321,21401,40107
2015-01-11,1,1585,172,1584,3341
2015-01-12,1,3541,216,5873,9630
2015-01-15,4,6824,782,7537,15143
2015-01-16,6,8304,754,9346,18404
2015-01-17,1,10,12,76,98
2015-01-20,1,2850,383,3199,6432
2015-01-23,5,3504,491,5386,9381
2015-01-26,5,6048,1319,11591,18958
2015-01-28,1,1650,195,1734,3579
2015-01-29,5,8344,1092,12082,21518
2015-01-30,1,465,245,810,1520
2015-02-08,4,6195,907,8570,15672
2015-02-10,3,1605,554,2338,4497
2015-02-11,8,11048,1798,20503,33349
2015-02-12,1,1489,244,2686,4419
2015-02-24,1,1688,188,2120,3996
2015-02-26,1,1611,201,2119,3931
2015-03-02,3,1593,268,3575,5436
2015-03-07,1,623,132,1110,1865
2015-03-08,1,566,91,1320,1977
2015-03-11,1,973,146,1331,2450
2015-03-12,3,13837,1911,18506,34254
2015-03-13,3,2041,518,3850,6409
2015-03-14,1,1768,316,1442,3526
2015-03-15,1,1004,103,1407,2514
2015-03-16,2,1277,303,3648,5228
2015-03-17,3,2260,691,4594,7545
2015-03-18,1,711,168,1661,2540
2015-03-21,4,1742,225,3068,5035
2015-03-22,1,218,243,917,1378
2015-03-23,2,2742,638,5464,8844
2015-03-24,4,3574,829,6461,10864
2015-03-30,1,6440,1035,5451,12926
2015-03-31,2,2090,641,3756,6487
2015-04-01,1,1677,377,2061,4115
2015-04-04,1,1496,572,2705,4773
2015-04-06,3,1325,279,3050,4654
2015-04-09,1,416,69,761,1246
2015-04-11,4,2653,564,4723,7940
2015-04-12,1,5,2,35,42
2015-04-13,4,2922,734,5121,8777
2015-04-14,3,15159,2561,14946,32666
2015-04-15,4,18112,1898,25688,45698
2015-04-18,2,1475,300,2850,4625
2015-04-19,2,1024,250,1794,3068
2015-04-23,1,50,31,156,237
2015-04-27,2,1702,383,4374,6459
2015-04-29,1,4223,964,5152,10339
2015-04-30,1,14,16,110,140
2015-05-01,2,1262,183,1572,3017
2015-05-02,1,3061,348,3722,7131
2015-05-03,2,2740,390,5322,8452
2015-05-04,1,2447,187,2444,5078
2015-05-05,1,1796,162,3026,4984
2015-05-06,3,2718,444,5040,8202
2015-05-12,6,3398,691,7672,11761
2015-05-19,2,2653,305,2511,5469
2015-05-22,3,1179,1046,2034,4259
2015-05-27,1,1201,237,2345,3783
2015-06-01,1,39,37,234,310
2015-06-12,1,141,53,667,861
2015-06-15,2,974,120,2070,3164
2015-06-19,1,852,143,1693,2688
2015-06-23,1,824,143,1638,2605
2015-06-27,6,3004,418,4832,8254
2015-06-28,6,9881,1740,9609,21230
2015-06-29,1,2330,673,3601,6604
2015-07-06,1,1047,223,2064,3334
2015-07-17,1,779,143,1673,2595
2015-07-18,1,1187,224,2206,3617
2015-07-27,1,53,20,140,213
2015-07-28,2,3244,394,3046,6684
2015-07-30,2,114,15,174,303
2015-07-31,6,4107,585,7880,12572
2015-08-06,1,2349,349,2975,5673
2015-08-08,1,70,38,294,402
2015-08-16,1,890,144,1565,2599
2015-08-17,1,1578,114,2337,4029
2015-08-22,2,2303,338,4599,7240
2015-09-02,6,7542,1088,11673,20303
2015-09-12,2,3977,616,7563,12156
2015-09-13,1,1192,160,2239,3591
