date,text,retweets,replies,tweet_interactions
2019-06-21,1,163,58,221
2019-06-24,2,273,174,447
2019-06-26,1,64,104,168
2019-06-29,1,2340,1064,3404
2019-07-01,1,1850,1105,2955
2019-07-02,2,4449,1774,6223
2019-07-03,2,1246,563,1809
2019-07-08,3,419,449,868
2019-07-09,1,1464,857,2321
2019-07-10,1,152,78,230
2019-07-11,1,2816,1436,4252
2019-07-16,4,1803,2457,4260
2019-07-19,1,899,845,1744
2019-07-22,1,1000,435,1435
2019-07-26,1,136,130,266
2019-07-27,2,10744,2787,13531
2019-07-28,3,1367,1041,2408
2019-07-29,1,1912,649,2561
2019-07-30,1,211,243,454
2019-08-03,1,264,329,593
2019-08-04,1,1077,612,1689
2019-08-09,3,2208,1458,3666
2019-08-11,2,2918,1608,4526
2019-08-15,1,135,93,228
2019-08-18,5,10302,8023,18325
2019-08-20,5,4689,3941,8630
2019-08-24,3,2890,1666,4556
2019-08-28,1,1219,1007,2226
2019-08-30,1,4621,501,5122
2019-09-03,1,1295,1464,2759
2019-09-07,3,3559,1321,4880
2019-09-12,1,243,161,404
2019-09-13,1,1064,799,1863
2019-09-14,6,1900,1208,3108
2019-09-15,1,770,686,1456
2019-09-16,1,193,160,353
2019-09-17,1,39,18,57
2019-09-23,2,582,373,955
2019-09-24,2,208,197,405
2019-09-26,1,1456,1416,2872
2019-10-02,2,2358,1566,3924
2019-10-06,1,2635,2043,4678
2019-10-09,1,4156,1416,5572
2019-10-10,3,3079,1275,4354
2019-10-12,7,4245,3306,7551
2019-10-14,2,342,379,721
2019-10-15,3,3381,3141,6522
2019-10-16,1,2446,745,3191
2019-10-21,1,1890,1141,3031
2019-10-22,1,481,233,714
2019-10-23,2,8093,2823,10916
2019-10-24,2,3144,1230,4374
2019-10-25,2,4863,2923,7786
2019-10-26,2,291,220,511
2019-10-27,1,286,136,422
2019-10-28,6,10254,3314,13568
2019-10-30,3,2639,1291,3930
2019-11-01,1,5078,1259,6337
2019-11-05,1,78,73,151
2019-11-06,2,8078,2558,10636
2019-11-13,1,2037,761,2798
2019-11-14,1,29,48,77
2019-11-16,1,6105,1992,8097
2019-11-18,1,49,121,170
2019-11-20,1,557,371,928
2019-11-21,3,12684,3777,16461
2019-11-22,5,66799,26839,93638
2019-11-23,3,65069,17091,82160
2019-11-24,7,133786,24310,158096
2019-11-25,1,2042,412,2454
2019-11-27,1,186,186,372
2019-12-01,4,900,612,1512
2019-12-07,4,10510,6717,17227
2019-12-08,1,661,777,1438
2019-12-19,1,21216,1329,22545
2019-12-20,1,3224,1910,5134
2019-12-21,1,196,114,310
2019-12-22,3,9045,2354,11399
2019-12-26,4,2608,1600,4208
2019-12-29,1,38,32,70
2019-12-30,9,972,685,1657
2019-12-31,1,159,114,273
2020-01-01,1,8245,2192,10437
2020-01-07,1,37175,7420,44595
2020-01-08,1,3097,1692,4789
2020-01-12,1,14586,3446,18032
2020-01-14,2,3626,2199,5825
2020-01-15,1,272,372,644
2020-01-17,1,179,90,269
2020-01-21,2,189,132,321
2020-01-22,1,9382,4368,13750
2020-01-24,1,364,347,711
2020-01-25,2,5635,1504,7139
2020-01-29,1,37648,4488,42136
2020-02-02,3,12487,9631,22118
2020-02-03,1,238,254,492
2020-02-09,2,8942,3226,12168
2020-02-10,8,4869,4686,9555
2020-02-15,1,3717,1769,5486
2020-02-16,1,5362,1976,7338
2020-02-17,1,265,109,374
2020-02-21,1,236,324,560
2020-02-22,1,568,615,1183
2020-02-25,1,161,125,286
